_id,Area Type,Area Name,Date,Year,Month,Seasonally Adjusted,Not Seasonally Adjusted
505,State,California,01/01/2018,2018,January,4.4,4.8
506,State,California,02/01/2018,2018,February,4.3,4.6
507,State,California,03/01/2018,2018,March,4.3,4.4
508,State,California,04/01/2018,2018,April,4.2,4.1
509,State,California,05/01/2018,2018,May,4.2,3.7
510,State,California,06/01/2018,2018,June,4.2,4.4
511,State,California,07/01/2018,2018,July,4.2,4.5
512,State,California,08/01/2018,2018,August,4.2,4.4
513,State,California,09/01/2018,2018,September,4.2,4.0
514,State,California,10/01/2018,2018,October,4.3,4.0
515,State,California,11/01/2018,2018,November,4.3,4.0
516,State,California,12/01/2018,2018,December,4.3,4.2
517,State,California,01/01/2019,2019,January,4.3,4.9
518,State,California,02/01/2019,2019,February,4.3,4.4
519,State,California,03/01/2019,2019,March,4.2,4.5
520,State,California,04/01/2019,2019,April,4.1,3.8
521,State,California,05/01/2019,2019,May,4.0,3.6
522,State,California,06/01/2019,2019,June,4.0,4.2
523,State,California,07/01/2019,2019,July,4.0,4.4
524,State,California,08/01/2019,2019,August,4.0,4.2
525,State,California,09/01/2019,2019,September,4.0,3.7
526,State,California,10/01/2019,2019,October,4.0,3.8
527,State,California,11/01/2019,2019,November,4.1,3.8
528,State,California,12/01/2019,2019,December,4.2,3.9
529,State,California,01/01/2020,2020,January,4.3,4.5
530,State,California,02/01/2020,2020,February,4.4,4.4
531,State,California,03/01/2020,2020,March,5.5,6.3
532,State,California,04/01/2020,2020,April,16.1,15.7
533,State,California,05/01/2020,2020,May,15.8,15.7
534,State,California,06/01/2020,2020,June,13.8,14.0
535,State,California,07/01/2020,2020,July,13.2,13.7
536,State,California,08/01/2020,2020,August,11.9,11.8
537,State,California,09/01/2020,2020,September,10.0,9.9
538,State,California,10/01/2020,2020,October,9.3,8.8
539,State,California,11/01/2020,2020,November,9.0,8.7
540,State,California,12/01/2020,2020,December,9.0,8.9
541,State,California,01/01/2021,2021,January,8.7,9.1
542,State,California,02/01/2021,2021,February,8.6,8.8
543,State,California,03/01/2021,2021,March,8.4,8.5
544,State,California,04/01/2021,2021,April,8.3,8.3
545,State,California,05/01/2021,2021,May,7.9,7.6
546,State,California,06/01/2021,2021,June,7.8,8.2
547,State,California,07/01/2021,2021,July,7.4,7.7
548,State,California,08/01/2021,2021,August,7.0,7.3
549,State,California,09/01/2021,2021,September,6.5,6.2
550,State,California,10/01/2021,2021,October,6.1,5.9
551,State,California,11/01/2021,2021,November,5.7,5.4
552,State,California,12/01/2021,2021,December,5.5,5.0
553,State,California,01/01/2022,2022,January,5.2,5.6
554,State,California,02/01/2022,2022,February,4.8,5.0
555,State,California,03/01/2022,2022,March,4.4,4.5
556,State,California,04/01/2022,2022,April,4.2,4.0
557,State,California,05/01/2022,2022,May,4.1,3.7
558,State,California,06/01/2022,2022,June,4.0,4.2
559,State,California,07/01/2022,2022,July,3.9,4.2
560,State,California,08/01/2022,2022,August,3.8,4.2
561,State,California,09/01/2022,2022,September,4.0,3.8
562,State,California,10/01/2022,2022,October,4.2,4.0
563,State,California,11/01/2022,2022,November,4.3,4.1
564,State,California,12/01/2022,2022,December,4.4,4.0
565,State,California,01/01/2023,2023,January,4.5,4.7
566,State,California,02/01/2023,2023,February,4.5,4.8
567,State,California,03/01/2023,2023,March,4.5,4.7
568,State,California,04/01/2023,2023,April,4.5,4.1
569,State,California,05/01/2023,2023,May,4.5,4.3
570,State,California,06/01/2023,2023,June,4.6,4.7
571,State,California,07/01/2023,2023,July,4.7,4.8
572,State,California,08/01/2023,2023,August,4.8,5.2
573,State,California,09/01/2023,2023,September,5.0,4.9
574,State,California,10/01/2023,2023,October,5.1,5.0
575,State,California,11/01/2023,2023,November,5.1,4.9
576,State,California,12/01/2023,2023,December,5.1,5.1
577,State,California,01/01/2024,2024,January,5.2,5.7
578,State,California,02/01/2024,2024,February,5.3,5.6
579,State,California,03/01/2024,2024,March,5.3,5.4
580,State,California,04/01/2024,2024,April,5.3,4.8
